,0,1,2,3,4
112,110,6 square power cord,800,Multi-strand,
113,111,4 square power cord,800,Multi-strand,
114,112,BVR-2.5,600,Multi-strand,
115,113,BVR-2.5 ground wire,1200,Multi-strand,
116,114,RVV3*2.5 power cable,600,Multi-strand,
117,115,Cabinet,4,600*600*2000MM,
118,116,Category 6 network jumper,200,CAT6,
119,117,Auxiliary material,1,"Conduit, trunking, bracket and other materials",
120,118,Installation and commissioning fee,1,"System debugging of network, power supply, software and hardware, etc.",
121,119,Video decoder,2,"Product Type: HD video and audio decoder Resolution: 500W and below resolution Compression format: H.264, OggVorbis Features: 4 channels 500W/8 channels 1080P/16 channels 720P/32 channels 4CIF....>>",
122,120,Face recognition,3,"Adopt 7-inch LCD touch screen, 2 million pixel binocular camera, face recognition distance 0.2-3m, support photo and video anti-counterfeiting; 2. Support 50,000 face whitelist, 1: N face comparison time <0.2S/person, supports 50,000 cards and 100,000 records; 3. Supports authentication methods of face, card swiping, password (super password) and their combination; can read Mifare card (IC card), CPU card serial number/content, ID card serial number;",
123,121,Four-door controller,1,"Processor: 32-bit processor; Number of control doors: 4; Communication method: Uplink TCP/IP, RS485; Card reader interface: RS485 and Wiegand dual communication interface; Storage capacity: 100,000 cards and 300,000 record storage; Working voltage: self-contained chassis and power supply (AC220V input), working voltage DC 12V, power consumption ≤ 4W (without load)",
124,122,Network dome camera,2,"Pixel: 400W pixel; sensor type: 1/1.8 inch CMOS Minimum illumination: Color: 0.0005Lux @ (F1.5, AGC ON); Black and White: 0.0001Lux @ (F1.5, AGC ON); 0 lux with IR Wide dynamic: 120dB ultra-wide dynamic; optical zoom: 25 times; focal length: 5.9-147.5mm; horizontal range: 360°; vertical range: -15°-90° (automatic flip)",
125,123,Cyber hemisphere,4,"Pixel: 200W; minimum illumination: 0.002Lux @(F1.2,AGC ON) Lens: 2.7-12mm @ F1.2~2.2, horizontal field of view: 103°~33°; motorized lens",
126,124,Access control system,1,"Basic access control management realizes intelligent applications such as personnel identification, access control, etc. by accessing a variety of access control devices, using cards, faces, and fingerprint media.It mainly provides applications such as access control authority management, event management, access control status viewing, remote access control, real-time display of personnel entry and exit records, and remote call intercom.",
127,125,Lightning protection grounding system,1,"Used for the grounding requirements of LED screens, consoles, cabinets, controllers and other electronic equipment",
128,126,Fire Renovation,1,The contractor shall carry out the necessary secondary fire-fighting renovation according to the characteristics of its own brand equipment.,
129,127,Air conditioning overhaul,1,"5P module machine: 1# external communication module 1 5P modular machine: 2# leak detection, repair welding and adding fluoride 1 set",
130,128,Platform integration,1,"Platform integration: video surveillance, security checkpoints, off-site violations, signal control, induced release, command and dispatch, digital large screen, service management,key vehicles, secondary identification, data docking, off-site law enforcement, investigation and control, licensing and certification, intelligent decision-making, road monitoring, etc.; quality parameters including installation, operation, commissioning, and inspection meet the requirements of the construction unit.",
131,129,Data access,1,"Data access, data docking, data maintenance",
132,130,Cloud storage software,1,"Cloud storage system space quota management function license per node; space quota management function application software upgrade support service-36 months, including at least ten node authorizations",
133,131,Secondary identification analysis software,1,Not less than 6 million sheets/day,
134,132,Layer 3 switch,1,"Gigabit Layer 3 Ethernet switch, 24 GE power + 4 GE SFP optical, support full/half duplex",
135,133,Layer 3 switch (front-end equipment access),8,"Gigabit Layer 3 Ethernet switch, 48 GE power + 4 GE SFP optical, support full/half duplex",
136,134,Cloud storage node,10,"Controller architecture, 8U72 disks, redundant power supply, support SATA hard disks, support network RAID; dual 64-bit six-core processors, 32GB cache, 6 Gigabit Ethernet ports, 3 12Gb SAS expansion ports; 72 6T enterprise-class hard disks . ？ Support 4+1, 8+2, 12+3 and other erasure code fault-tolerant methods to upgrade the fault-tolerant method upward, and support the data disaster recovery of two clouds,",
137,135,EISwitch,1,"48*Gigabit power, 4*10G SFP+, 2*40G QSFP+, 2*AC power supply, port side air inlet",
138,136,HISwitch,2,"48*10G SFP+, 6*40G QSFP+, 2*AC power supply, port side air inlet",
139,137,Database node,1,CPU: 2 16-core X86 architecture CPUs; Memory: 256GB DDR4; Hard disk configuration requirements are not less than: 240G M.2*1 (system) + 240G SSD*1 + 480G SSD*6 + 2T 7.2K SATA *4 (RAID10) + RAID card;,
140,138,Data access server,2,"4210×1/64G DDR4/1.2T 10K SAS×2(RAID_1)/SAS_HBA/1GbE×2/550W(1+1)/2U/16DIMM; 2U dual-channel standard rack server; CPU: 1 Intel Xeon series processor, core number ≥ 10 cores, main frequency ≥ 2.2GHz;",
141,139,Secondary identification server,3,Processor: Intel Xeon series high-performance 64-bit CPU; integrated professional GPU chip Memory: 2 * 4GB DDR3;,
142,140,Application node,1,"2U dual-socket standard rack server CPU: 2 Xeon？ Silver 4214 (12 cores, 2.2GHz) Memory: 64G*4 DDR4, 16 memory slots, maximum support for expansion to 2TB memory",
143,141,Data cascade server,1,"2U dual-socket standard rack server CPU: 2 Xeon？ Silver 4214 (12 cores, 2.2GHz) Memory: 64G*4 DDR4, 16 memory slots, maximum support for expansion to 2TB memory",
144,142,Video security isolation gatekeeper,3,"Realize the security isolation between the internal and external networks, block the tcp/ip-based network protocol transmission, and the security isolation function is not controlled by the outside;",
145,143,Probe,1,"Display the user's network boundary topology map, and monitor the operation status of various equipment in real time; Display the real-time traffic of border access services and important alarm information of the entire platform;",
146,144,Video link firewall,1,The number of concurrent connections≥5200000; network throughput≥16Gbps; Security filtering bandwidth ≥3000Mbps; User limit ≥1000; fixed interface: at least 8GE (2 optical 6 electricity);,
147,145,Optical module,24,"Optical module-SFP+-10G-multimode module (850nm, 0.3km, LC)",
148,146,Optical fiber,16,Optical jumper-DLC/PC-DLC/PC-multimode-10m-A1b-2mm-50mm LC,
149,147,High-speed cable,2,"High-speed cable-40G Passive QSFP+ cable-1m-(QSFP+ 38 male)-(CC8P0.254 black(S))-(QSFP+ 38 male)-indoor, Ethernet 40GbE-No",
150,148,Second decoration,1,The contractor shall carry out the necessary secondary renovation and decoration according to the characteristics of its own brand equipment.,
